Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Song Tag 1,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 1 Chord Chart,Arrangement 1 Chord Chart Key,Arrangement 1 Tag 1,Arrangement 1 Tag 2,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys,Arrangement 2 Chord Chart,Arrangement 2 Chord Chart Key,Arrangement 2 Tag 1,Arrangement 2 Tag 2
24991404,"10,000 Reasons (Bless The Lord)",6016351,"Blessing, , Christian Life, Praise, Adoration",,13-Jun-25,,Matt Redman,72.5,346,,"Ab, B, C, G","Chorus 1

Bless the Lord O my soul O my soul
Worship His holy name
Sing like never before O my soul
I'll worship Your holy name

Verse 1

The sun comes up it's a new day dawning
It's time to sing Your song again
Whatever may pass and whatever lies before me
Let me be singing when the evening comes

Verse 2

You're rich in love and You're slow to anger
Your name is great and Your heart is kind
For all Your goodness I will keep on singing
Ten thousand reasons for my heart to find

Verse 3

And on that day when my strength is failing
The end draws near and my time has come
Still my soul will sing Your praise unending
Ten thousand years and then forevermore

Misc 1

Worship Your holy name
Lord I'll worship Your holy name

Misc 2

Sing like never before O my soul
I'll worship Your holy name
Worship Your holy name
Worship Your holy name",G,,,,,,,,,,,
24878075,A Thousand Hallelujahs,7190270,"Glory, Honor, Lamb Of God, Praise, Singing",,15-Dec-24,,Brooke Ligertwood,68,311,,"A, Bb, C, G",,A,,,,,,,,,,,
26146793,Agnus Dei,626713,", agnus dei, Worship, Praise",,05-Jan-25,,Default Arrangement,,0,,C,"Verse 1

Alleluia alleluia
For the Lord God Almighty reigns
Alleluia alleluia
For the Lord God Almighty reigns
Alleluia

Chorus 1

(You are) Holy holy
Are You Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb
You are holy holy
Are You Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb
Amen",C,,,Michael W. Smith,69,320,,C,"Verse 1

Alleluia alleluia
For the Lord God Almighty reigns
Alleluia alleluia
For the Lord God Almighty reigns
Alleluia

Chorus 1

(You are) Holy holy
Are You Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb
You are holy holy
Are You Lord God Almighty
Worthy is the Lamb
Worthy is the Lamb
Amen",C,,
28056256,All Hail King Jesus,7097216,,,20-Apr-25,,Bethel Music,74,327,,C,"Verse 1

There was a moment when the lights went out
When death had claimed its victory
The King of Love had given up His life
The darkest day in history

Verse 2

There on a cross they made for sinners
For every curse His blood atoned
One final breath and it was finished
But not the end we could have known

Pre-Chorus 1

For the earth began to shake
And the veil was torn
What sacrifice was made
As the heavens roared

Chorus 1

All hail King Jesus
All hail the Lord of Heaven and earth
All hail King Jesus
All hail the Savior of the world

Verse 3

There was a moment when the sky lit up
A flash of light breaking through
When all was lost He crossed eternity
The King of life was on the move

Pre-Chorus 2

For in a dark cold tomb
Where our Lord was laid
One miraculous breath
And we're forever changed

Bridge 1

Let every knee come bow before the King of Kings
Let every tongue confess that He is Lord
Lift up your shout let us join with all of Heaven
Singing Holy
Singing Holy
Cry out Holy
Singing Holy

Chorus 2

All hail King Jesus
All hail King Jesus
All hail King Jesus
All hail King Jesus",C,,,,,,,,,,,
26071283,Alleluia,6514578,,,,,Jesus Culture,70,483,,F,,,,,,,,,,,,,
26146842,Alpha And Omega,4654148,"Worthiness, , God's Attributes, Worship",,08-Jun-25,,Default Arrangement,,0,,"C, G","Verse 1

You are Alpha and Omega
We worship You our Lord
You are worthy to be praised

Chorus 1

We give You all the glory
We worship You our Lord
You are worthy to be praised",C,,,,,,,,,,,
25459361,Angels We Have Heard On High,,,,24-Dec-23,,Chris Tomlin,117,0,,G,,,,,,,,,,,,,
27797696,At Your Name,5942543,"His Name, Adoration, Praise, Proclamation",,06-Jul-25,,Phil Wickham,84,231,,"A, C, G","Verse 1

At Your name
The mountains shake and crumble
At Your name
The oceans roar and tumble
At Your name angels will bow
The earth will rejoice
Your people cry out

Chorus 1

Lord of all the earth we shout Your name
Shout Your name
Filling up the skies with endless praise
Endless praise
Yahweh Yahweh
We love to shout Your name oh Lord

Verse 2

At Your name
The morning breaks in glory
At Your name
Creation sings Your story
At Your name angels will bow
The earth will rejoice
Your people cry out

Bridge 1

There is no one like our God
We will praise You praise You
There's no one like our God
We will sing we will sing
There is no one like our God
We will praise You praise You
There's no one like our God
We will sing

Chorus 2

Lord of all the earth we'll shout Your name
Shout Your name
Filling up the skies with endless praise
Endless praise
Yahweh Yahweh
We love to shout Your name oh Lord",G,,,,,,,,,,,
25829741,Awake My Soul,7134998,"Prayer, Savior, Saviour, Singing, Worship",,15-Jun-25,,Hillsong Worship,127,258,,"A, C, Db",,A,,,,,,,,,,,
25434288,Away in a Manger / Worthy Is Your Name,,,,24-Dec-23,,Maverick City Music,73,0,,C,,,,,,,,,,,,,
